image,text
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay001.jpg,Pleasant Sea
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay002.jpg,0 0000
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay003.jpg,0 0
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay004.jpg,0 0000
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay005.jpg,topping the
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay006.jpg,0 0000
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay007.jpg,0 0
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay008.jpg,0 1
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay009.jpg,0 0
C:\Users\Rasulbekk\Desktop\ielts_handwriting_ocr\data\raw\essay010.jpg,1961 02 25 25
